reviewText,overall,summary,asin,reviewerID,sentiment_label,review_word_count,review_char_count,full_text,vader_prediction,vader_compound,textblob_prediction,textblob_polarity
Count on 50% of the bearings to be bad out of the box. Sizing is pretty consistent. I put these on a 3d printer and they started squeaking/groaning after about a week. Lubed the shafts and they quieted down so I suspect the bearings are failing at an incredibly rapid rate.,2.0,"They work, mostly, sort-of.",B01H3DNKYY,A295WE7NHKTNX0,Negative,51,273,"They work, mostly, sort-of. Count on 50% of the bearings to be bad out of the box. Sizing is pretty consistent. I put these on a 3d printer and they started squeaking/groaning after about a week. Lubed the shafts and they quieted down so I suspect the bearings are failing at an incredibly rapid rate.",Negative,-0.7251,Positive,0.17407407407407413
Poor quality inconsistent size,1.0,Dont Buy,B00J0H8EWA,A3PK9JHOR3SSVE,Negative,4,30,Dont Buy Poor quality inconsistent size,Positive,0.3724,Negative,-0.4
"FLIR - You got two strikes so far... Unit #1 - Horrible Back-light Bleeding.... Unit #2 - Dead Pixels!... Unit #3 is on it's way... Any bets on the next issue?!?!? UNIT #1: Right out of the box, upon power on, I see a big yellow pressure point on the display assembly. For the price you're paying, this is unacceptable! At minimum, the display shouldn't have a big yellow pressure point in the top right corner. Basic movement of the product causes the display to discolor, which indicates either A) display quality issue B) design issue or C) Assembly issue ( i.e. FLIR's factory that got torque happy when assembling). Upon adjusting the the brightness, it's only worse. What makes matters worse - you rely on contrast/color with this tool, yet somehow this made it out of factory. UPDATE: Unit #2 - Dead Pixels (a little bearable back-light bleeding. Dead/Defective Pixels Unacceptable! - Defective Pixels galore....See pictures attached.",1.0,"2 of 2 Units Defective - Display Issue (#1 back-light bleeding, #2 Multiple Dead Pixels) - Another example of lackluster QA!",B00T9RANUC,ADD4QA9WBEPAU,Negative,158,941,"2 of 2 Units Defective - Display Issue (#1 back-light bleeding, #2 Multiple Dead Pixels) - Another example of lackluster QA! FLIR - You got two strikes so far... Unit #1 - Horrible Back-light Bleeding.... Unit #2 - Dead Pixels!... Unit #3 is on it's way... Any bets on the next issue?!?!? UNIT #1: Right out of the box, upon power on, I see a big yellow pressure point on the display assembly. For the price you're paying, this is unacceptable! At minimum, the display shouldn't have a big yellow pressure point in the top right corner. Basic movement of the product causes the display to discolor, which indicates either A) display quality issue B) design issue or C) Assembly issue ( i.e. FLIR's factory that got torque happy when assembling). Upon adjusting the the brightness, it's only worse. What makes matters worse - you rely on contrast/color with this tool, yet somehow this made it out of factory. UPDATE: Unit #2 - Dead Pixels (a little bearable back-light bleeding. Dead/Defective Pixels Unacceptable! - Defective Pixels galore....See pictures attached.",Negative,-0.988,Neutral,-0.03814732142857143
not the best dose not work as good as i expected left with a blank look in my face need to work much better,2.0,not to happy with it,B0015ENO6W,A3JHQCT9K2EI6B,Negative,24,107,not to happy with it not the best dose not work as good as i expected left with a blank look in my face need to work much better,Negative,-0.707,Positive,0.41428571428571426
"Partially tapped holes limit you to only top mounting. The wholes are not square on all blocks. Some of the bushings are missing 3-4 ball bearings making them jerky. I guess for $8 you get what you pay for. EDIT: Bought a second set because the 1st ones were useless. These came with the bearings on the outside! Loose in the bag, so... again completely useless! The seller NEVER response to emails and shipping to return them costs more than they did.",1.0,Too cheap!!!,B00IJ67BJA,A1OUUZSD5DD4ZN,Negative,82,452,"Too cheap!!! Partially tapped holes limit you to only top mounting. The wholes are not square on all blocks. Some of the bushings are missing 3-4 ball bearings making them jerky. I guess for $8 you get what you pay for. EDIT: Bought a second set because the 1st ones were useless. These came with the bearings on the outside! Loose in the bag, so... again completely useless! The seller NEVER response to emails and shipping to return them costs more than they did.",Negative,-0.9014,Neutral,0.025393356643356638
"Flimsy, barely conducts electricity",1.0,Waste of $ - make your own for cheaper,B007XRCUGK,A3EERNFUBUKIZ8,Negative,4,35,"Waste of $ - make your own for cheaper Flimsy, barely conducts electricity",Negative,-0.4215,Positive,0.15
"The tape itself was fine and good quality... the stupid spool this came in basically unravelled the moment I took it out of the bag. The stuff is a pain to store when not properly rolled and it was nearly impossible to re-roll it...so basically I got 55yds, used maybe 1 yd, and now have about 15 yd left in the roll...the rest is in a tangled mess I just threw out. This needs side walls on the spool when it is this thing to prevent the spool itself from collapsing like this. ugh. Alternatively, I've had copper tape before of a similar width that was more self-adhesive which allowed it to maintain a roll-like form without losing it. I'm not sure what was different, other than the good roll seemed a bit waxier/stickier, but I'm guessing this is why it stayed rolled.",1.0,The tape itself was fine and good quality,B00EY44I42,A31EX6VRGMQMJS,Negative,143,773,"The tape itself was fine and good quality The tape itself was fine and good quality... the stupid spool this came in basically unravelled the moment I took it out of the bag. The stuff is a pain to store when not properly rolled and it was nearly impossible to re-roll it...so basically I got 55yds, used maybe 1 yd, and now have about 15 yd left in the roll...the rest is in a tangled mess I just threw out. This needs side walls on the spool when it is this thing to prevent the spool itself from collapsing like this. ugh. Alternatively, I've had copper tape before of a similar width that was more self-adhesive which allowed it to maintain a roll-like form without losing it. I'm not sure what was different, other than the good roll seemed a bit waxier/stickier, but I'm guessing this is why it stayed rolled.",Neutral,-0.0101,Neutral,0.09444444444444447
"Do not buy very thin, lace like. Have used other products from this line , other stuff OK. First one I opened I thought mistake all the same.",1.0,POOR QUALITY,B00E8JRNU4,AI43VKPN5NF7D,Negative,28,141,"POOR QUALITY Do not buy very thin, lace like. Have used other products from this line , other stuff OK. First one I opened I thought mistake all the same.",Negative,-0.5376,Neutral,-0.05999999999999999
tip was not in properly and broke off as i tried to unscrew itnot very good returned,1.0,Broke first day,B000BR7JUG,A12UQQU6OKLHF0,Negative,17,84,Broke first day tip was not in properly and broke off as i tried to unscrew itnot very good returned,Negative,-0.3415,Positive,0.38666666666666666
What the heck would make them put a left-hand thread on the outer part and right hand threads on the inner part - when you mount it on the tank then torque into the inner fitting it undoes the outer threads. Also it is kind of bulky making it so you can't mount it close to a wall in the tank.,2.0,Reversed threads on the mounting side? Doesn't make sense.,B0079JTX3U,A16CBDQH44LK3P,Negative,61,293,Reversed threads on the mounting side? Doesn't make sense. What the heck would make them put a left-hand thread on the outer part and right hand threads on the inner part - when you mount it on the tank then torque into the inner fitting it undoes the outer threads. Also it is kind of bulky making it so you can't mount it close to a wall in the tank.,Positive,0.4939,Positive,0.27714285714285714
good leds,1.0,One Star,B004UZDKRG,A2ZKODE40HL6DB,Negative,2,9,One Star good leds,Positive,0.4404,Positive,0.7
"Be warned- this works with 1/4"" plastic tube- not Brass- like the supply for my evaporative cooler- again, only with plastic",2.0,Does not work with brass water supply tube,B012DU0ZAO,A2SMQCENGBYWMS,Negative,21,124,"Does not work with brass water supply tube Be warned- this works with 1/4"" plastic tube- not Brass- like the supply for my evaporative cooler- again, only with plastic",Negative,-0.4956,Neutral,0.0
It fits as in bigger than necessary. Not remotely tight.,2.0,Eh It isn't smaller than the tote.,B0001N4700,AR95CH6BULYUE,Negative,10,56,Eh It isn't smaller than the tote. It fits as in bigger than necessary. Not remotely tight.,Neutral,0.0,Neutral,0.022321428571428572
This filter is not depicted as the one in the ad on Amazon. I thought it would come black and it came in a break silver mesh cylinder I should have read the ad a little bit more because it doesn't contain carbon of which iPhreshsays doesn't really do much. Also this is not a filter to remove odors I could have made this for about $5 with materials from a hardware store. I didn't even bother opening in it. This was a waste of my time and don't waste yours not.,1.0,Switch and bait.,B004EXMS4U,A1B6TSZ86GGK51,Negative,92,463,Switch and bait. This filter is not depicted as the one in the ad on Amazon. I thought it would come black and it came in a break silver mesh cylinder I should have read the ad a little bit more because it doesn't contain carbon of which iPhreshsays doesn't really do much. Also this is not a filter to remove odors I could have made this for about $5 with materials from a hardware store. I didn't even bother opening in it. This was a waste of my time and don't waste yours not.,Positive,0.3111,Neutral,-0.009027777777777773
"HORRIBLE, broken upon delivery, tested its work-ability anyway and couldn't hear a heartbeat clearly at all",1.0,One Star,B000FSIV6M,AVTPE77IQ7G8F,Negative,16,107,"One Star HORRIBLE, broken upon delivery, tested its work-ability anyway and couldn't hear a heartbeat clearly at all",Negative,-0.6841,Negative,-0.4333333333333333
Not worth buying. Didn't work with my computer and didn't want to go through hassel to return. I might not even know where it is now since it never worked! HAHA Pretty bad that it is bad enough that I misplaced it since i never used it. I don't think I would purchase it for even a gag gift exchange! I gave it a 2 start simply for the innovative idea!,2.0,Stay away!,B016KUGVJC,A1T6I0KG4DY24R,Negative,71,352,Stay away! Not worth buying. Didn't work with my computer and didn't want to go through hassel to return. I might not even know where it is now since it never worked! HAHA Pretty bad that it is bad enough that I misplaced it since i never used it. I don't think I would purchase it for even a gag gift exchange! I gave it a 2 start simply for the innovative idea!,Negative,-0.9063,Neutral,-0.0847222222222222
"Comes out easy, however does not dry solid for at least three weeks.",2.0,Find something else,B0009XB4O4,A3F2MSJ6I29V33,Negative,13,68,"Find something else Comes out easy, however does not dry solid for at least three weeks.",Positive,0.3519,Neutral,0.04166666666666667
"Never could get it to drive the stepper motors without tons of jitter. I think either the board or all the drivers are faulty. If it's me, I wish someone would explain the solution to me.",2.0,Not satisfied...,B0111ZSS2O,A3T5FVFRDG7GFS,Negative,36,187,"Not satisfied... Never could get it to drive the stepper motors without tons of jitter. I think either the board or all the drivers are faulty. If it's me, I wish someone would explain the solution to me.",Positive,0.0946,Negative,-0.25
"These slings are NOT as pictured. They have full-width eyes and NOT folded eyes as pictured, to make attachment easier in shackles and other connecting links.",2.0,NOT as Pictured,B00I5HRFYY,A1N1LW13O3QKEG,Negative,26,158,"NOT as Pictured These slings are NOT as pictured. They have full-width eyes and NOT folded eyes as pictured, to make attachment easier in shackles and other connecting links.",Positive,0.6124,Negative,-0.125
Not really stainless steel...just not right for jewelry cleaning. Sent back.,1.0,One Star,B00IER21M6,A22P16WH31MG8R,Negative,11,76,One Star Not really stainless steel...just not right for jewelry cleaning. Sent back.,Neutral,0.0,Neutral,-0.08095238095238096
"Filament density is higher than black, requiring recalibration to go between the two. Difficult to make consistent prints due to this.",2.0,Not recommended,B00MWL948E,ACRLMGI1YIZ8F,Negative,21,134,"Not recommended Filament density is higher than black, requiring recalibration to go between the two. Difficult to make consistent prints due to this.",Negative,-0.4753,Neutral,-0.05833333333333333
"Checked all 20 diodes out of the bag using my Fluke 117 True RMS multimeter (diode checker function). The readings were all over the place (like there is a QC issue with the doping of these diodes). Ten of them while testing forward/reverse current ""chirped"" on the diode function (prob okay, but had a higher impedance). All indicated ""open"" when reversing the leads. The other ten had a long steady tone (indicating a short...which is fine). Those ten also showed ""open"" when reversing the leads. From what I can tell...half of these are probably okay, and the other half questionable. Not recommended.",2.0,QC issue?,B01CXOQMJ8,A3QDPQBJAJC6C,Negative,102,604,"QC issue? Checked all 20 diodes out of the bag using my Fluke 117 True RMS multimeter (diode checker function). The readings were all over the place (like there is a QC issue with the doping of these diodes). Ten of them while testing forward/reverse current ""chirped"" on the diode function (prob okay, but had a higher impedance). All indicated ""open"" when reversing the leads. The other ten had a long steady tone (indicating a short...which is fine). Those ten also showed ""open"" when reversing the leads. From what I can tell...half of these are probably okay, and the other half questionable. Not recommended.",Positive,0.2644,Neutral,0.07156862745098042
CAN NOT MAKE IT WORK,2.0,Two Stars,B00GGJ4X9S,A2EFSI9VFZF6EV,Negative,5,20,Two Stars CAN NOT MAKE IT WORK,Neutral,0.0,Neutral,0.0
"I received this item in gray color instead of black, which is very disappointing. It does not match my fixtures color.",2.0,item in gray color instead of black,B000Z9DCF6,A3RNSPXZURY2DH,Negative,21,118,"item in gray color instead of black I received this item in gray color instead of black, which is very disappointing. It does not match my fixtures color.",Negative,-0.5413,Negative,-0.3711111111111111
"I have been using four of these units in my basement for the past three months. Last night I decided to check them for consistency. I place all four next to each other. After 15 minutes, all four units had different humidity readings. I left them together over night; this morning, they are all different again. CRAZY different, ranging from 63% to 72%. ARE YOU KIDDING ME!!!!",1.0,NOT ACCURATE.  TESTED!!!!,B0013BKDO8,A3TBMGYHM5MLI4,Negative,67,376,"NOT ACCURATE.  TESTED!!!! I have been using four of these units in my basement for the past three months. Last night I decided to check them for consistency. I place all four next to each other. After 15 minutes, all four units had different humidity readings. I left them together over night; this morning, they are all different again. CRAZY different, ranging from 63% to 72%. ARE YOU KIDDING ME!!!!",Negative,-0.4885,Negative,-0.146328125
"Which is correct? The one I received will stay at the same temperature and humidity regardless of conditions in the room. You have to pick it up and disturb it to get it to ""update"" the humidity and temperature, and even then the results will show wild swings. Quite frustrating because I don't know when the gauge is being accurate or not.",2.0,Rapid swings from 40% to 70% RH,B00DRALJ28,A3F0HJLB79JQJ4,Negative,62,340,"Rapid swings from 40% to 70% RH Which is correct? The one I received will stay at the same temperature and humidity regardless of conditions in the room. You have to pick it up and disturb it to get it to ""update"" the humidity and temperature, and even then the results will show wild swings. Quite frustrating because I don't know when the gauge is being accurate or not.",Negative,-0.7089,Neutral,0.02500000000000001
Bought this for the activator but the spray bottle didn't spray!,2.0,Two Stars,B0166FFCHS,A2IQI2NFBXA1Z8,Negative,11,64,Two Stars Bought this for the activator but the spray bottle didn't spray!,Neutral,0.0,Neutral,0.0
"I ordered Translucent Black. I received solid black. Can't even shine an LED flashlight thru it. Maybe it is just a wrong item. I will order again, Translucent, Dictionary -> ""Transparent (of a substance) allowing light, but not detailed images, to pass through; semitransparent.""",1.0,Did I receive a wrong item?,B004MUFHUM,A3CA9AOKJIU9ZD,Negative,44,280,"Did I receive a wrong item? I ordered Translucent Black. I received solid black. Can't even shine an LED flashlight thru it. Maybe it is just a wrong item. I will order again, Translucent, Dictionary -> ""Transparent (of a substance) allowing light, but not detailed images, to pass through; semitransparent.""",Negative,-0.4215,Negative,-0.1619047619047619
It looks like every seller here sources their borosilicate glass from the same poor manufacturer. I ordered this to replace a warped sheet only to find out this piece is far more warped than my other one. The kicker? I already installed my PEI sheet on this so I'm out a lot more than just the cost of this glass.,1.0,Nowhere near flat!,B00QQ5Q3BI,A1JKH8XD9E3LTL,Negative,60,313,Nowhere near flat! It looks like every seller here sources their borosilicate glass from the same poor manufacturer. I ordered this to replace a warped sheet only to find out this piece is far more warped than my other one. The kicker? I already installed my PEI sheet on this so I'm out a lot more than just the cost of this glass.,Negative,-0.2244,Neutral,0.07152777777777777
"The filament was visibly tangled and kinked on the spool when I received it. My review is based solely upon that at this point. I'm attempting to print with it now, but I have very little hope as im sure the tangles will cause the filament to break or pull out of the extruder during the print. I will never buy this again and id advise not to take the chance on it.",1.0,Filament came tangled and kinked.,B019CZHWW2,AEIQ7JJZTXUBL,Negative,73,366,"Filament came tangled and kinked. The filament was visibly tangled and kinked on the spool when I received it. My review is based solely upon that at this point. I'm attempting to print with it now, but I have very little hope as im sure the tangles will cause the filament to break or pull out of the extruder during the print. I will never buy this again and id advise not to take the chance on it.",Positive,0.8511,Positive,0.128125
"The new app shows the temperatures really nicely, with a vertical scale at the left of the picture. But they're meaningless. See attached pictures showing a near view of a washing machine drum, and a medium distance view of the same machine. Temperatures are wildly different. This device is fun to play with, and may be reliable for showing variations in temperature, but you can't take the temperatures seriously, at all.",2.0,Measured temps vary greatly by distance,B00NYWABAA,A12MS0QRMVQMAO,Negative,71,423,"Measured temps vary greatly by distance The new app shows the temperatures really nicely, with a vertical scale at the left of the picture. But they're meaningless. See attached pictures showing a near view of a washing machine drum, and a medium distance view of the same machine. Temperatures are wildly different. This device is fun to play with, and may be reliable for showing variations in temperature, but you can't take the temperatures seriously, at all.",Positive,0.5785,Positive,0.11030303030303032
"Product isn't real bad but if you don't mind , in the middle of printing , the filament snaps due to being tangled on the spool then it is not a bad product. I had untangled it numerous times and missed catching it before it caused problems. Lost the print, wasted the filament, had to stop and rewind the balance of the spool of white filament unto an empty spool to use the balance of the filament. This happened with better than a half spool of line left on it and it was a Pain In T. A. But am using the balance of the line and will use another source for filaments. I have found one made in the USA and unspools flawless and high quality product and is available on Amazon. 3D Solutech Real Blue 1.75mm PLA 3D Printer Filament 2.2 LBS (1.0KG) - 100% USA]]",1.0,Product isn't real bad but if you don't mind,B00J0GMMP6,ASVFOPVPHYXKK,Negative,148,760,"Product isn't real bad but if you don't mind Product isn't real bad but if you don't mind , in the middle of printing , the filament snaps due to being tangled on the spool then it is not a bad product. I had untangled it numerous times and missed catching it before it caused problems. Lost the print, wasted the filament, had to stop and rewind the balance of the spool of white filament unto an empty spool to use the balance of the filament. This happened with better than a half spool of line left on it and it was a Pain In T. A. But am using the balance of the line and will use another source for filaments. I have found one made in the USA and unspools flawless and high quality product and is available on Amazon. 3D Solutech Real Blue 1.75mm PLA 3D Printer Filament 2.2 LBS (1.0KG) - 100% USA]]",Negative,-0.4981,Neutral,0.024607843137254882
"Worked well the first dozen times I used it. After showing an open on pins 1 & 2 and me cutting off the RJ45 three times, I tried it on a known good cable. Same reading. Closer inspection revealed the number 1 pin was bent over the #2 pin. Straitened it but still reads open. Replaced with Southwire model M400TP.",2.0,Didn't last long.,B004CI9NRM,A2MVKF65WOV4N9,Negative,60,313,"Didn't last long. Worked well the first dozen times I used it. After showing an open on pins 1 & 2 and me cutting off the RJ45 three times, I tried it on a known good cable. Same reading. Closer inspection revealed the number 1 pin was bent over the #2 pin. Straitened it but still reads open. Replaced with Southwire model M400TP.",Positive,0.34,Neutral,0.0375
"Junk, large UPC code posted in one corner that is not shown in picture, Has large seller's inventory sticker stuck on the front which is very difficult to take off. (takes sign printing with it) They are very flimsy so I glued them to a harder service and the glue ate through the sign in several places to further damage the sign.",1.0,Much better signs out there,B008YFTPBS,A2TIJ1DJ74KFG3,Negative,62,331,"Much better signs out there Junk, large UPC code posted in one corner that is not shown in picture, Has large seller's inventory sticker stuck on the front which is very difficult to take off. (takes sign printing with it) They are very flimsy so I glued them to a harder service and the glue ate through the sign in several places to further damage the sign.",Negative,-0.624,Neutral,0.04732142857142857
Was about 75% through a 19 hour print and found out the printer was printing in tin air. Found the cause. The filament was tangled on the spool so obviously lacking in quality control. No more of this product!,1.0,Terrible product,B00ZAUQZTA,AWN9I13LC3GZ2,Negative,39,209,Terrible product Was about 75% through a 19 hour print and found out the printer was printing in tin air. Found the cause. The filament was tangled on the spool so obviously lacking in quality control. No more of this product!,Negative,-0.68,Negative,-0.4375
"Bought two, one was DOA. It always thinks it night time",1.0,50/50,B000VS6FWI,A3H4O91OZ4IW9R,Negative,11,55,"50/50 Bought two, one was DOA. It always thinks it night time",Negative,-0.6166,Neutral,0.0
"There is a permanently marked label right on the front to tell you where to re order more signs. Its prominent, right under the word 'surveillance'. I'm giving this otherwise alright product one star because the photo i looked at of it to buy it did not show the big reorder information. I'm tired of subtle false advertising and tricks. Just be honest and show the real picture. How am i supposed to remove this silkscreened permanent ink? Acetone would dissolve the plastic enough to leave a streak.",1.0,Advertisement on the front you don't know about,B000YT5Y7G,A35MH4WEUGF0G1,Negative,88,501,"Advertisement on the front you don't know about There is a permanently marked label right on the front to tell you where to re order more signs. Its prominent, right under the word 'surveillance'. I'm giving this otherwise alright product one star because the photo i looked at of it to buy it did not show the big reorder information. I'm tired of subtle false advertising and tricks. Just be honest and show the real picture. How am i supposed to remove this silkscreened permanent ink? Acetone would dissolve the plastic enough to leave a streak.",Positive,0.6872,Positive,0.1115079365079365
"VERY slow response (screen update) time, when checking continuity, don't lift test lead too quickly... count up to two or three then check or listen for reading. Meter rated as 6000 count, mine acts more like 500-1000 count... Very annoying. Not happy.",2.0,"Slow response (count) update time, nice gauge but very slow re-count time!",B019CY4FB4,A1T136JLJANY4D,Negative,42,252,"Slow response (count) update time, nice gauge but very slow re-count time! VERY slow response (screen update) time, when checking continuity, don't lift test lead too quickly... count up to two or three then check or listen for reading. Meter rated as 6000 count, mine acts more like 500-1000 count... Very annoying. Not happy.",Negative,-0.623,Negative,-0.14302083333333337
"In comparing these to the 7 mil gloves from Harbor Freight that I normally buy, I've had more tears with these 9 mil gloves, and they feel thinner than Harbor Freight's 7 mil. The price isn't really any different (assuming HF coupon.) I've also noticed the price has gone up more than a dollar since I bought these just a few weeks ago, making them even less of a value. The Harbor Freight 9 mil gloves are significantly better than these and are likely worth the extra cost. I've never had so many tears; they're fine for working with epoxy/paint, but are not up to the task of actually working on anything with your hands. I actually had a pair tear just while I was just laying out fiberglass cloth. I'm at a loss to explain how these gloves have so many 5 star reviews.",2.0,The Harbor Freight 9 mil gloves are significantly better than these and are likely worth the extra cost,B00QRELG56,AVM8DTQ6Y80I3,Negative,145,773,"The Harbor Freight 9 mil gloves are significantly better than these and are likely worth the extra cost In comparing these to the 7 mil gloves from Harbor Freight that I normally buy, I've had more tears with these 9 mil gloves, and they feel thinner than Harbor Freight's 7 mil. The price isn't really any different (assuming HF coupon.) I've also noticed the price has gone up more than a dollar since I bought these just a few weeks ago, making them even less of a value. The Harbor Freight 9 mil gloves are significantly better than these and are likely worth the extra cost. I've never had so many tears; they're fine for working with epoxy/paint, but are not up to the task of actually working on anything with your hands. I actually had a pair tear just while I was just laying out fiberglass cloth. I'm at a loss to explain how these gloves have so many 5 star reviews.",Positive,0.1612,Positive,0.2
